accession,strain,lineage,date,joint_WHO_China_sample_id,addtl_annotations
EPI_ISL_727998,Japan/FHU-CS27-0221/2020,B,2020-02-21,,other
EPI_ISL_718273,Japan/FHU-CS24-0221/2020,B,2020-02-21,,other
EPI_ISL_582619,UnitedArabEmirates/skmc-0532493/2020,B,2020-02-21,,other
EPI_ISL_582618,UnitedArabEmirates/skmc-009/2020,B,2020-02-21,,other
EPI_ISL_582617,UnitedArabEmirates/skmc-008/2020,B,2020-02-21,,other
EPI_ISL_582616,UnitedArabEmirates/skmc-007/2020,B,2020-02-21,,other
EPI_ISL_582615,UnitedArabEmirates/skmc-006/2020,B,2020-02-21,,other
EPI_ISL_582614,UnitedArabEmirates/skmc-005/2020,B,2020-02-21,,other
EPI_ISL_582613,UnitedArabEmirates/skmc-004/2020,B,2020-02-21,,other
EPI_ISL_582612,UnitedArabEmirates/skmc-002/2020,B,2020-02-21,,other
EPI_ISL_582611,UnitedArabEmirates/skmc-2200522146/2020,B,2020-02-21,,other
EPI_ISL_527873,Nigeria/ED01-CV155/2020,B,2020-02-21,,other
EPI_ISL_497993,SouthKorea/KCDC2092/2020,B,2020-02-21,,other
EPI_ISL_497992,SouthKorea/KCDC2091/2020,B,2020-02-21,,other
EPI_ISL_497991,SouthKorea/KCDC2090/2020,B,2020-02-21,,other
EPI_ISL_497984,SouthKorea/KCDC2083/2020,B,2020-02-21,,other
EPI_ISL_497982,SouthKorea/KCDC2081/2020,B,2020-02-21,,other
EPI_ISL_497981,SouthKorea/KCDC2080/2020,B,2020-02-21,,other
EPI_ISL_497980,SouthKorea/KCDC2079/2020,B,2020-02-21,,other
EPI_ISL_497979,SouthKorea/KCDC2078/2020,B,2020-02-21,,other
EPI_ISL_497978,SouthKorea/KCDC2077/2020,B,2020-02-21,,other
EPI_ISL_497977,SouthKorea/KCDC2076/2020,B,2020-02-21,,other
EPI_ISL_497976,SouthKorea/KCDC2075/2020,B,2020-02-21,,other
EPI_ISL_497970,SouthKorea/KCDC2069/2020,B,2020-02-21,,other
EPI_ISL_481374,SouthKorea/KCDC2054/2020,B,2020-02-21,,other
EPI_ISL_481372,SouthKorea/KCDC2052/2020,B,2020-02-21,,other
EPI_ISL_481371,SouthKorea/KCDC2051/2020,A,2020-02-21,,other
EPI_ISL_481370,SouthKorea/KCDC2050/2020,B,2020-02-21,,other
EPI_ISL_480691,Australia/NT43/2020,B,2020-02-21,,other
EPI_ISL_480043,Japan/PG-0373/2020,A,2020-02-21,,other
EPI_ISL_480032,Japan/PG-0362/2020,B,2020-02-21,,other
EPI_ISL_479870,Japan/PG-0159/2020,B,2020-02-21,,other
EPI_ISL_471455,SouthKorea/KCDC2049/2020,B,2020-02-21,,other
EPI_ISL_471454,SouthKorea/KCDC2048/2020,B,2020-02-21,,other
EPI_ISL_471452,SouthKorea/KCDC2046/2020,B,2020-02-21,,other
EPI_ISL_454995,Wuhan/HB-WHCM-115/2020,B,2020-02-21,,other
EPI_ISL_454921,Wuhan/HB-WH2-149/2020,B,2020-02-21,,other
EPI_ISL_454920,Wuhan/HB-WH2-148/2020,B,2020-02-21,,other
EPI_ISL_454420,Lebanon/S7_763/2020,B.1,2020-02-21,,other
EPI_ISL_451307,Italy/LOM-INMI-5314-N/2020,B.1,2020-02-21,,other
EPI_ISL_451306,Italy/LOM-INMI-5314-B/2020,B.1,2020-02-21,,other
EPI_ISL_429968,France/HDF-1463/2020,B.1,2020-02-21,,other
EPI_ISL_419833,Australia/NT04/2020,B,2020-02-21,,other
EPI_ISL_418218,France/HDF-1465/2020,B.1,2020-02-21,,other
EPI_ISL_417137,USA/WA-S84/2020,A,2020-02-21,,other
EPI_ISL_414481,USA/Cruise-CDC-3055039-001/2020,B,2020-02-21,,other
EPI_ISL_414480,USA/Cruise-CDC-3054886-001/2020,B,2020-02-21,,other
EPI_ISL_413611,USA/Cruise-CDC-3055015-001/2020,B,2020-02-21,,other
EPI_ISL_413610,USA/Cruise-CDC-3054940-001/2020,B,2020-02-21,,other
EPI_ISL_413609,USA/Cruise-CDC-3054899-001/2020,B,2020-02-21,,other
EPI_ISL_413456,USA/WA-S2/2020,A,2020-02-21,,other
OR240442,SH-P14-C-2-Wuhan/2020-02-22,A,2020-02-22,,other
OR240481,SH-P36-A-2-Shanghai/2020-02-22,B,2020-02-22,,other
EPI_ISL_985394,SouthKorea/Chosun-CoV53/2020,B,2020-02-22,,other
EPI_ISL_871973,Spain/MD-ISCIII-201091/2020,A,2020-02-22,,other
EPI_ISL_728156,Japan/FHU-CS108-0222/2020,B,2020-02-22,,other
EPI_ISL_728155,Japan/FHU-CS84-0222/2020,B,2020-02-22,,other
EPI_ISL_728154,Japan/FHU-CS77-0222/2020,B,2020-02-22,,other
EPI_ISL_644823,USA/WA-USAFSAM-S060/2020,B.1,2020-02-22,,other
EPI_ISL_582620,UnitedArabEmirates/skmc-0532497/2020,B,2020-02-22,,other
EPI_ISL_542224,Italy/LOM-UniMI-L252/2020,B.1,2020-02-22,,other
EPI_ISL_542223,Italy/LOM-UniMI-L251/2020,B.1,2020-02-22,,other
EPI_ISL_542222,Italy/LOM-UniMI-L250/2020,B.1,2020-02-22,,other
EPI_ISL_542221,Italy/LOM-UniMI-L249/2020,B.1,2020-02-22,,other
EPI_ISL_497989,SouthKorea/KCDC2088/2020,B,2020-02-22,,other
EPI_ISL_497987,SouthKorea/KCDC2086/2020,B,2020-02-22,,other
EPI_ISL_497985,SouthKorea/KCDC2084/2020,B,2020-02-22,,other
EPI_ISL_497983,SouthKorea/KCDC2082/2020,B,2020-02-22,,other
EPI_ISL_496607,Panama/328719/2020,A,2020-02-22,,other
EPI_ISL_486920,hCoV-19/Italy/LOM-Hsacco-3/2020,B.1,2020-02-22,,other
EPI_ISL_486659,Italy/LOM-ASST-3/2020,B.1,2020-02-22,,other
EPI_ISL_481378,SouthKorea/KCDC2058/2020,B,2020-02-22,,other
EPI_ISL_481375,SouthKorea/KCDC2055/2020,B,2020-02-22,,other
EPI_ISL_480046,Japan/PG-0376/2020,A,2020-02-22,,other
EPI_ISL_480045,Japan/PG-0375/2020,A,2020-02-22,,other
EPI_ISL_480044,Japan/PG-0374/2020,A,2020-02-22,,other
EPI_ISL_480033,Japan/PG-0363/2020,B,2020-02-22,,other
EPI_ISL_468039,Australia/SA0097/2020,B,2020-02-22,,other
EPI_ISL_460091,Italy/LOM-INMI-5925/2020,B.1,2020-02-22,,other
EPI_ISL_460079,Italy/LOM-INMI-BG-5825/2020,B.1,2020-02-22,,other
EPI_ISL_455010,Wuhan/HB-WHCM2-278/2020,B,2020-02-22,,other
EPI_ISL_454973,Wuhan/HB-WH5-229/2020,CC,2020-02-22,,other
EPI_ISL_454911,Wuhan/HB-WH1-134/2020,B,2020-02-22,,other
EPI_ISL_430131,USA/WA-S277/2020,A,2020-02-22,,other
EPI_ISL_420456,Australia/WA11/2020,B,2020-02-22,,other
EPI_ISL_419835,Australia/NT05/2020,B,2020-02-22,,other
EPI_ISL_419245,HongKong/HKPU74-1302/2020,B,2020-02-22,,other
EPI_ISL_419244,HongKong/HKPU73-0802/2020,B,2020-02-22,,other
EPI_ISL_419243,HongKong/HKPU70-1302/2020,B,2020-02-22,,other
EPI_ISL_417135,USA/WA-S82/2020,A,2020-02-22,,other
EPI_ISL_414571,HongKong/VM20002849/2020,B,2020-02-22,,other
EPI_ISL_1007663,SouthKorea/Chosun-CoV33_SP/2020,B,2020-02-22,,other
OR240362,SH-P22-J-2-Shanghai/2020-02-23,B,2020-02-23,,other
OR240409,SH-P212-H-2-Wuhan/2020-02-23,B-B.1,2020-02-23,,other
EPI_ISL_582623,UnitedArabEmirates/skmc-2200543130/2020,B,2020-02-23,,other
EPI_ISL_582622,UnitedArabEmirates/skmc-2200543117/2020,B,2020-02-23,,other
EPI_ISL_582621,UnitedArabEmirates/skmc-2200543104/2020,B,2020-02-23,,other
EPI_ISL_542228,Italy/LOM-UniMI-L257/2020,B.1,2020-02-23,,other
EPI_ISL_542227,Italy/LOM-UniMI-L256/2020,B.1,2020-02-23,,other
EPI_ISL_542226,Italy/LOM-UniMI-L254/2020,B.1,2020-02-23,,other
EPI_ISL_542225,Italy/LOM-UniMI-L253/2020,B.1,2020-02-23,,other
EPI_ISL_542217,Italy/LOM-UniMI-L230/2020,B.1,2020-02-23,,other
EPI_ISL_497994,SouthKorea/KCDC2093/2020,B,2020-02-23,,other
EPI_ISL_497988,SouthKorea/KCDC2087/2020,B,2020-02-23,,other
EPI_ISL_496736,Panama/333271/2020,A,2020-02-23,,other
EPI_ISL_490008,SaudiArabia/627/2020,B.1,2020-02-23,,other
EPI_ISL_486921,hCoV-19/Italy/LOM-Hsacco-4/2020,B.1,2020-02-23,,other
EPI_ISL_486660,Italy/LOM-ASST-4/2020,B.1,2020-02-23,,other
EPI_ISL_481377,SouthKorea/KCDC2057/2020,B,2020-02-23,,other
EPI_ISL_481373,SouthKorea/KCDC2053/2020,B,2020-02-23,,other
EPI_ISL_479864,Japan/PG-0141/2020,B,2020-02-23,,other
EPI_ISL_457701,Oman/RESP-20-797/2020,B.4,2020-02-23,,other
EPI_ISL_455368,Wuhan/HB-WH1-144/2020,A0,2020-02-23,,other
EPI_ISL_455367,Wuhan/HB-WH1-139/2020,B,2020-02-23,,other
EPI_ISL_455366,Wuhan/HB-WH1-133/2020,CC,2020-02-23,,other
EPI_ISL_455365,Wuhan/HB-WH1-132/2020,CC,2020-02-23,,other
EPI_ISL_455008,Wuhan/HB-WHCM2-274/2020,B,2020-02-23,,other
EPI_ISL_419242,HongKong/HKPU66-2501/2020,B,2020-02-23,,other
EPI_ISL_412862,USA/CA-CDC-03056430-001/2020,B,2020-02-23,,other
EPI_ISL_412026,Anhui/2/2020,B,2020-02-23,,other
OR240535,SH-P68-A-2-Asia-Thailand/2020-02-24,B,2020-02-24,,other
OR240482,SH-P36-B-2-Shanghai/2020-02-24,B,2020-02-24,,other
OR240542,SH-P69-F-3-Shanghai/2020-02-24,B,2020-02-24,,other
EPI_ISL_856884,Italy/TAA-ISS-219/2020,B.1,2020-02-24,,other
EPI_ISL_779713,Italy/LOM-UniMI09/2020,B.1,2020-02-24,,other
EPI_ISL_779712,Italy/LOM-UniMI08/2020,B.1,2020-02-24,,other
EPI_ISL_779709,Italy/LOM-UniMI07/2020,B.1,2020-02-24,,other
EPI_ISL_779704,Italy/LOM-UniMI05/2020,B.1,2020-02-24,,other
EPI_ISL_738194,Italy/TUS-C198/2020,B.1,2020-02-24,,other
EPI_ISL_728207,Japan/FHU-CS56-0224/2020,B,2020-02-24,,other
EPI_ISL_728159,Japan/FHU-CS108-0224/2020,B,2020-02-24,,other
EPI_ISL_542233,Italy/LOM-UniMI-L267/2020,B.1,2020-02-24,,other
EPI_ISL_542232,Italy/LOM-UniMI-L265/2020,B.1,2020-02-24,,other
EPI_ISL_542231,Italy/LOM-UniMI-L261/2020,B.1,2020-02-24,,other
EPI_ISL_542230,Italy/LOM-UniMI-L260/2020,B.1,2020-02-24,,other
EPI_ISL_542229,Italy/LOM-UniMI-L259/2020,B.1,2020-02-24,,other
EPI_ISL_539531,CanaryIslands/CN-ISCIII-201048/2020,B.1,2020-02-24,,other
EPI_ISL_506947,SouthKorea/KCDC2153/2020,B,2020-02-24,,other
EPI_ISL_497990,SouthKorea/KCDC2089/2020,B,2020-02-24,,other
EPI_ISL_497986,SouthKorea/KCDC2085/2020,B,2020-02-24,,other
EPI_ISL_497784,HongKong/HKU-200723-017/2020,B,2020-02-24,,other
EPI_ISL_490009,SaudiArabia/640/2020,B.1,2020-02-24,,other
EPI_ISL_485604,England/200920118/2020,B.1,2020-02-24,,other
EPI_ISL_481379,SouthKorea/KCDC2059/2020,B,2020-02-24,,other
EPI_ISL_479997,Japan/PG-0322/2020,B,2020-02-24,,other
EPI_ISL_464183,England/20092096704/2020,B,2020-02-24,,other
EPI_ISL_464182,England/20092000804/2020,B,2020-02-24,,other
EPI_ISL_464181,England/20092000704/2020,B,2020-02-24,,other
EPI_ISL_460086,Italy/LOM-INMI-7070/2020,B.1,2020-02-24,,other
EPI_ISL_460081,Italy/LOM-INMI-BG-7158/2020,B.1,2020-02-24,,other
EPI_ISL_457704,Oman/RESP-20-837/2020,B.4,2020-02-24,,other
EPI_ISL_455370,Wuhan/HB-WH2-146/2020,CC,2020-02-24,,other
EPI_ISL_455013,Wuhan/HB-WHCM2-282/2020,B,2020-02-24,,other
EPI_ISL_455009,Wuhan/HB-WHCM2-276/2020,B,2020-02-24,,other
EPI_ISL_455004,Wuhan/HB-WHCM2-269/2020,B,2020-02-24,,other
EPI_ISL_454998,Wuhan/HB-WHCM-120/2020,A,2020-02-24,,other
EPI_ISL_454915,Wuhan/HB-WH1-138/2020,B,2020-02-24,,other
EPI_ISL_437932,Austria/CeMM0045/2020,B.1,2020-02-24,,other
EPI_ISL_430292,USA/WA-S254/2020,A,2020-02-24,,other
EPI_ISL_419248,HongKong/HKPU84-2502/2020,B,2020-02-24,,other
EPI_ISL_419247,HongKong/HKPU83-1702/2020,B,2020-02-24,,other
EPI_ISL_416462,USA/WA-S7/2020,A,2020-02-24,,other
EPI_ISL_414519,HongKong/VM20002868/2020,B,2020-02-24,,other
EPI_ISL_414485,USA/Cruise-CDC-03057008-001/2020,B,2020-02-24,,other
EPI_ISL_413996,Switzerland/TI-SNRCI-29919486/2020,B.1,2020-02-24,,other
EPI_ISL_413623,USA/Cruise-CDC-03056442-001/2020,B,2020-02-24,,other
EPI_ISL_413622,USA/Cruise-CDC-03056916-001/2020,B,2020-02-24,,other
EPI_ISL_413565,Netherlands/Berlicum_1363564/2020,B.1,2020-02-24,,other
EPI_ISL_412970,USA/WA2/2020,A,2020-02-24,,other
EPI_ISL_17575597,hCoV-19/USA/WA-UWMC-000001/2020,A,2020-02-24,,other
OR240536,SH-P68-B-2-Asia-Thailand/2020-02-25,B,2020-02-25,,other
OR240543,SH-P69-G-3-Shanghai/2020-02-25,B,2020-02-25,,other
OR240528,SH-P62-2-Asia-Japan/2020-02-25,B.4,2020-02-25,,other
EPI_ISL_738147,Italy/TUS-C44/2020,B.1,2020-02-25,,other
EPI_ISL_684616,Japan/PG-1006/2020,B,2020-02-25,,other
EPI_ISL_542410,Italy/LOM-UniMI-L64/2020,B.1,2020-02-25,,other
EPI_ISL_542240,Italy/LOM-UniMI-L274/2020,B.1,2020-02-25,,other
EPI_ISL_542239,Italy/LOM-UniMI-L273/2020,B.1,2020-02-25,,other
EPI_ISL_542238,Italy/LOM-UniMI-L272/2020,B.1,2020-02-25,,other
EPI_ISL_542237,Italy/LOM-UniMI-L271/2020,B.1,2020-02-25,,other
EPI_ISL_542236,Italy/LOM-UniMI-L270/2020,B.1,2020-02-25,,other
EPI_ISL_542235,Italy/LOM-UniMI-L269/2020,B.1,2020-02-25,,other
EPI_ISL_542234,Italy/LOM-UniMI-L268/2020,B.1,2020-02-25,,other
EPI_ISL_535716,Canada/Qc-LSPQ-L00210314/2020,B.4,2020-02-25,,other
EPI_ISL_501220,Malaysia/6359/2020,B,2020-02-25,,other
EPI_ISL_480047,Japan/PG-0377/2020,A,2020-02-25,,other
EPI_ISL_479998,Japan/PG-0323/2020,B,2020-02-25,,other
EPI_ISL_479871,Japan/PG-0160/2020,B,2020-02-25,,other
EPI_ISL_479852,Japan/PG-0119/2020,B,2020-02-25,,other
EPI_ISL_479802,Japan/PG-0031/2020,B,2020-02-25,,other
EPI_ISL_464186,England/20094061504/2020,B,2020-02-25,,other
EPI_ISL_464185,England/20094061404/2020,B,2020-02-25,,other
EPI_ISL_464184,England/20094007004/2020,B.1,2020-02-25,,other
EPI_ISL_460094,Italy/LOM-INMI-8058/2020,B.1,2020-02-25,,other
EPI_ISL_455012,Wuhan/HB-WHCM2-280/2020,B,2020-02-25,,other
EPI_ISL_454912,Wuhan/HB-WH1-135/2020,B,2020-02-25,,other
EPI_ISL_447252,Taiwan/TSGH-26/2020,B.4,2020-02-25,,other
EPI_ISL_435139,UnitedArabEmirates/L6627/2020,B.4,2020-02-25,,other
EPI_ISL_435138,UnitedArabEmirates/L6599/2020,B,2020-02-25,,other
EPI_ISL_435135,UnitedArabEmirates/L4682/2020,B.4,2020-02-25,,other
EPI_ISL_435131,UnitedArabEmirates/L2409/2020,B.4,2020-02-25,,other
EPI_ISL_435126,UnitedArabEmirates/L0904/2020,B.4,2020-02-25,,other
EPI_ISL_435121,UnitedArabEmirates/L0184/2020,B.4,2020-02-25,,other
EPI_ISL_430737,Beijing/BJ1112/2020,A,2020-02-25,,other
EPI_ISL_430295,USA/WA-S257/2020,A,2020-02-25,,other
EPI_ISL_418251,Spain/MD-ISCIII-201105/2020,B.1,2020-02-25,,other
EPI_ISL_417216,England/20102088002/2020,B,2020-02-25,,other
EPI_ISL_417215,England/20102087902/2020,B,2020-02-25,,other
EPI_ISL_414692,Guangzhou/GZMU0014/2020,B,2020-02-25,,other
EPI_ISL_414691,Guangzhou/GZMU0048/2020,A,2020-02-25,,other
EPI_ISL_414690,Guangzhou/GZMU0047-/2020,A,2020-02-25,,other
EPI_ISL_414689,Guangzhou/GZMU0044-/2020,A,2020-02-25,,other
EPI_ISL_414688,Guangzhou/GZMU0042-/2020,A0,2020-02-25,,other
EPI_ISL_414687,Guangzhou/GZMU0031/2020,B,2020-02-25,,other
EPI_ISL_414663,Guangzhou/GZMU0016/2020,A,2020-02-25,,other
EPI_ISL_414623,France/GES-1583-2/2020,A,2020-02-25,,other
EPI_ISL_414517,HongKong/VM20002907/2020,B,2020-02-25,,other
EPI_ISL_414497,Germany/NW-HHU-02-1/2020,B,2020-02-25,,other
EPI_ISL_414009,England/200960515/2020,B,2020-02-25,,other
EPI_ISL_414005,England/200940527/2020,B,2020-02-25,,other
EPI_ISL_413619,USA/Cruise-CDC-3057405-001/2020,B,2020-02-25,,other
EPI_ISL_412971,Finland/FIN-25/2020,B.1,2020-02-25,,other
EPI_ISL_412964,Brazil/SP-01/2020,B.1,2020-02-25,,other
EPI_ISL_412912,Germany/BW-ChVir-1577/2020,B.1,2020-02-25,,other
OR240544,SH-P69-H-3-Shanghai/2020-02-26,B,2020-02-26,,other
EPI_ISL_983587,Germany/NW-UKB-X4719/2020,B,2020-02-26,,other
EPI_ISL_940533,France/IDF_HB_112002096647/2020,B.1,2020-02-26,,other
EPI_ISL_729475,Germany/BW-ChVir1611/2020,B.1,2020-02-26,,other
EPI_ISL_729473,Germany/BW-ChVir1600/2020,B.4,2020-02-26,,other
EPI_ISL_644681,France/OCC-SC463/2020,B.1,2020-02-26,,other
EPI_ISL_594459,USA/WA-CDC-8384/2020,A,2020-02-26,,other
EPI_ISL_542442,Italy/LOM-UniMI-L98/2020,B.1,2020-02-26,,other
EPI_ISL_542401,Italy/LOM-UniMI-L54/2020,B.1,2020-02-26,,other
EPI_ISL_542241,Italy/LOM-UniMI-L276/2020,B.1,2020-02-26,,other
EPI_ISL_527917,Switzerland/BL-UHB-42167842/2020,B.1,2020-02-26,,other
EPI_ISL_527916,Switzerland/BS-UHB-42167340/2020,B.1,2020-02-26,,other
EPI_ISL_516083,Italy/MAR-UnivPM-71205/2020,B.1,2020-02-26,,other
EPI_ISL_497995,SouthKorea/KCDC2094/2020,B,2020-02-26,,other
EPI_ISL_490010,SaudiArabia/656/2020,B.1,2020-02-26,,other
EPI_ISL_486925,hCoV-19/Italy/LOM-Hsacco-8/2020,B.1,2020-02-26,,other
EPI_ISL_486918,hCoV-19/Italy/LOM-Hsacco-20/2020,B.1,2020-02-26,,other
EPI_ISL_486664,Italy/LOM-ASST-8/2020,B.1,2020-02-26,,other
EPI_ISL_486657,Italy/LOM-ASST-20/2020,B.1,2020-02-26,,other
EPI_ISL_485398,SouthKorea/CoV55/2020,B,2020-02-26,,other
EPI_ISL_480049,Japan/PG-0379/2020,A,2020-02-26,,other
EPI_ISL_480048,Japan/PG-0378/2020,A,2020-02-26,,other
EPI_ISL_479826,Japan/PG-0071/2020,B,2020-02-26,,other
EPI_ISL_475544,Sweden/20-04736/2020,B.4,2020-02-26,,other
EPI_ISL_464204,England/20099044904/2020,B.1,2020-02-26,,other
EPI_ISL_464195,England/20098017604/2020,B.1,2020-02-26,,other
EPI_ISL_464191,England/20098007304/2020,B,2020-02-26,,other
EPI_ISL_464188,England/20096051104/2020,B,2020-02-26,,other
EPI_ISL_464187,England/20096051004/2020,B,2020-02-26,,other
EPI_ISL_460095,Italy/LOM-INMI-9675/2020,B.1,2020-02-26,,other
EPI_ISL_460089,Italy/LOM-INMI-9491/2020,B.1,2020-02-26,,other
EPI_ISL_460088,Italy/LOM-INMI-9214/2020,B.1,2020-02-26,,other
EPI_ISL_460087,Italy/LOM-INMI-9206/2020,B.1,2020-02-26,,other
EPI_ISL_460083,Italy/LOM-INMI-BG-9225/2020,B.1,2020-02-26,,other
EPI_ISL_460082,Italy/LOM-INMI-BG-9209/2020,B.1,2020-02-26,,other
EPI_ISL_457698,Guangzhou/GZMU0117/2020,B,2020-02-26,,other
EPI_ISL_455007,Wuhan/HB-WHCM2-272/2020,B,2020-02-26,,other
EPI_ISL_454996,Wuhan/HB-WHCM-116/2020,A,2020-02-26,,other
EPI_ISL_450747,Canada/ON_SHSC-01/2020,B.4,2020-02-26,,other
EPI_ISL_435580,USA/CA-SCCPHD-UC101/2020,B,2020-02-26,,other
EPI_ISL_430126,USA/WA-S272/2020,A,2020-02-26,,other
EPI_ISL_427809,SouthKorea/KCDC2015/2020,B,2020-02-26,,other
EPI_ISL_421246,Nanchang/JXN3T4/2020,A,2020-02-26,,other
EPI_ISL_419656,Austria/CeMM0003/2020,B.1,2020-02-26,,other
EPI_ISL_419655,Austria/CeMM0002/2020,B,2020-02-26,,other
EPI_ISL_419554,USA/CA-CDC-03062962-001/2020,B,2020-02-26,,other
EPI_ISL_419253,HongKong/HKPU92-1302/2020,B,2020-02-26,,other
EPI_ISL_419252,HongKong/HKPU91-2002/2020,B,2020-02-26,,other
EPI_ISL_419251,HongKong/HKPU90-1602/2020,B,2020-02-26,,other
EPI_ISL_419250,HongKong/HKPU89-2502/2020,B,2020-02-26,,other
EPI_ISL_418247,Spain/CL-ISCIII-201061/2020,B.1,2020-02-26,,other
EPI_ISL_418219,France/BRE-1623/2020,B.1,2020-02-26,,other
EPI_ISL_417484,Norway/1380/2020,B.4,2020-02-26,,other
EPI_ISL_417134,USA/WA-S81/2020,A,2020-02-26,,other
EPI_ISL_416502,France/BRE-2330/2020,B.1,2020-02-26,,other
EPI_ISL_416483,Spain/VC-FISABIO-4/2020,A,2020-02-26,,other
EPI_ISL_416142,Denmark/SSI-01/2020,B.1,2020-02-26,,other
EPI_ISL_414949,NorthernIreland/HSCNI01/2020,B.1,2020-02-26,,other
EPI_ISL_414625,France/PDL-1643/2020,B.1,2020-02-26,,other
EPI_ISL_414624,France/NOR-N1620/2020,B.1,2020-02-26,,other
EPI_ISL_414600,France/GES-1583/2020,A,2020-02-26,,other
EPI_ISL_414504,Germany/NW-HHU-05/2020,B,2020-02-26,,other
EPI_ISL_414499,Germany/NW-HHU-04/2020,B,2020-02-26,,other
EPI_ISL_414498,Germany/NW-HHU-03/2020,B,2020-02-26,,other
EPI_ISL_414011,England/200990006/2020,B,2020-02-26,,other
EPI_ISL_414010,England/200981386/2020,B.1,2020-02-26,,other
EPI_ISL_413997,Switzerland/GE-SNRCI-29933895/2020,B.1,2020-02-26,,other
EPI_ISL_413019,Switzerland/ZH-UZH-1000477102/2020,B,2020-02-26,,other
EPI_ISL_1064082,Italy/VEN-SR-86-B/2020,B,2020-02-26,,other
EPI_ISL_1064081,Italy/VEN-SR-31-B/2020,B,2020-02-26,,other
EPI_ISL_1064080,Italy/VEN-SR-29-B/2020,B,2020-02-26,,other
EPI_ISL_1064079,Italy/VEN-SR-30-B/2020,B,2020-02-26,,other
EPI_ISL_1064078,Italy/VEN-SR-87-B/2020,B,2020-02-26,,other
EPI_ISL_1064026,Italy/VEN-SR-13-B/2020,B,2020-02-26,,other
EPI_ISL_1040045,Henan/fahzu0032/2020,B,2020-02-26,,other
OR240483,SH-P36-C-2-Shanghai/2020-02-27,B,2020-02-27,,other
OR240545,SH-P69-I-3-Shanghai/2020-02-27,B,2020-02-27,,other
EPI_ISL_940534,France/IDF_HB_112002103234/2020,B.1,2020-02-27,,other
EPI_ISL_852760,Germany/BW-FR0059/2020,B.1,2020-02-27,,other
EPI_ISL_728206,Japan/FHU-CS24-0227/2020,B,2020-02-27,,other
EPI_ISL_684139,Japan/PG-0199/2020,B,2020-02-27,,other
EPI_ISL_684110,Japan/PG-0073/2020,B,2020-02-27,,other
EPI_ISL_649094,Israel/CVL-n896/2020,B.1,2020-02-27,,other
EPI_ISL_636504,Netherlands/NB-RIVM-10300/2020,B,2020-02-27,,other
EPI_ISL_582625,UnitedArabEmirates/skmc-003/2020,B,2020-02-27,,other
EPI_ISL_582624,UnitedArabEmirates/skmc-001/2020,B,2020-02-27,,other
EPI_ISL_547499,Netherlands/NH-RIVM-10073/2020,B.1,2020-02-27,,other
EPI_ISL_542406,Italy/LOM-UniMI-L60/2020,B.1,2020-02-27,,other
EPI_ISL_542242,Italy/LOM-UniMI-L278/2020,B.1,2020-02-27,,other
EPI_ISL_530042,Spain/MD-HLP-113/2020,B,2020-02-27,,other
EPI_ISL_515911,USA/CA-CDPH018/2020,A,2020-02-27,,other
EPI_ISL_515910,USA/CA-CDPH017/2020,B,2020-02-27,,other
EPI_ISL_506949,SouthKorea/KCDC2155/2020,B,2020-02-27,,other
EPI_ISL_506948,SouthKorea/KCDC2154/2020,B,2020-02-27,,other
EPI_ISL_496617,Panama/328941/2020,A,2020-02-27,,other
EPI_ISL_490011,SaudiArabia/671/2020,B.1,2020-02-27,,other
EPI_ISL_479828,Japan/PG-0074/2020,B,2020-02-27,,other
EPI_ISL_479827,Japan/PG-0072/2020,B,2020-02-27,,other
EPI_ISL_476559,Morocco/refstage1/2020,B.1,2020-02-27,,other
EPI_ISL_470851,Australia/WA34/2020,B,2020-02-27,,other
EPI_ISL_464411,England/201061453/2020,B,2020-02-27,,other
EPI_ISL_464229,England/20099089604/2020,B.1,2020-02-27,,other
EPI_ISL_464226,England/20099073004/2020,B.1,2020-02-27,,other
EPI_ISL_464209,England/20099066204/2020,B.1,2020-02-27,,other
EPI_ISL_464208,England/20099066104/2020,B.1,2020-02-27,,other
EPI_ISL_464200,England/20099000504/2020,B.1,2020-02-27,,other
EPI_ISL_464197,England/20098017804/2020,B,2020-02-27,,other
EPI_ISL_464196,England/20098017704/2020,B.1,2020-02-27,,other
EPI_ISL_464194,England/20098017504/2020,B.1,2020-02-27,,other
EPI_ISL_464193,England/20098017204/2020,B,2020-02-27,,other
EPI_ISL_464192,England/20098017104/2020,B,2020-02-27,,other
EPI_ISL_464190,England/20096115304/2020,B,2020-02-27,,other
EPI_ISL_464189,England/20096101804/2020,B.4,2020-02-27,,other
EPI_ISL_462305,Singapore/187/2020,B,2020-02-27,,other
EPI_ISL_454992,Wuhan/HB-WHCM-109/2020,B,2020-02-27,,other
EPI_ISL_454916,Wuhan/HB-WH1-140/2020,B,2020-02-27,,other
EPI_ISL_454750,Netherlands/NoordHolland_10001/2020,B.1,2020-02-27,,other
EPI_ISL_450512,Lebanon/S5_762/2020,B.4,2020-02-27,,other
EPI_ISL_440486,England/CAMB-8475A/2020,B.1,2020-02-27,,other
EPI_ISL_437993,Austria/CeMM0143/2020,B.1,2020-02-27,,other
EPI_ISL_430847,Sweden/20-04631/2020,B.4,2020-02-27,,other
EPI_ISL_428830,Singapore/51/2020,T-,2020-02-27,,other
EPI_ISL_420799,SouthKorea/un-CDC-03065362-001/2020,B,2020-02-27,,other
EPI_ISL_419558,USA/OR-CDC-03063104-001/2020,B,2020-02-27,,other
